sample_id,state,lab,producer,strain_name,product_name,product_type,date_tested,source_file,total_terpenes,beta_pinene,d_limonene,p_cymene,beta_caryophyllene,caryophyllene_oxide,gamma_terpinene,alpha_terpinene,alpha_pinene,beta_myrcene,ocimene,carene,camphene,terpinolene,humulene,guaiol,nerolidol,eucalyptol,linalool,isopulegol,alpha_bisabolol,geraniol,terpene_sum,n_detected,total_thc,total_cbd
e2c440ca862294112920f48458c28693b74ff41d15e8bf9f3544ee2d6592ccd1,CA,BelCosta Labs,MISSION HEALTH ASSOCIATES,SUPER SILVER HAZE,SUPER SILVER HAZE,Flower,2021-06-07T00:00:00,ca-results-latest.xlsx,1.91767,0.06334,0.40049,0.0,0.56595,,0.0,0.0,0.03378,0.57702,0.0,0.0,0.0,0.0,0.21545,0.0,,0.0,0.06164,0.0,0.0,0.0,1.9176699999999998,7,25.67506,0.07566
602c0d32b1be6ccbaf37fa4ead0b6bba3ae91255c74471d4f333376c38769b38,CA,BelCosta Labs,MISSION HEALTH ASSOCIATES,SUPER SILVER HAZE,SUPER SILVER HAZE,Flower,2021-06-07T00:00:00,ca-results-latest.xlsx,1.73508,0.05184,0.3025,0.0,0.50928,,0.0,0.0,0.02729,0.59929,0.0,0.0,0.0,0.0,0.19596,0.0,,0.0,0.04892,0.0,0.0,0.0,1.73508,7,27.09116,0.08246
6943a7a42b17ff2a9d3d6df8ef572da7fb536138496ffa0e31aaa8255b744e58,CA,BelCosta Labs,"MISSION HEALTH ASSOCIATES, INC",SUPER SILVER HAZE,SUPER SILVER HAZE,Flower,2021-06-07T00:00:00,ca-results-latest.xlsx,1.76621,0.05326,0.32123,0.0,0.43895,,0.0,0.0,0.02824,0.71328,0.0,0.0,0.0,0.0,0.16884,0.0,,0.0,0.04241,0.0,0.0,0.0,1.7662099999999998,7,26.53489,0.09015
ee73608b3a928d7c8f95511d186faa77aa9e17504028ecf66edd8aa612ba34ef,CA,BelCosta Labs,MISSION HEALTH ASSOCIATES,SUPER SILVER HAZE,SUPER SILVER HAZE,Flower,2021-06-07T00:00:00,ca-results-latest.xlsx,1.77333,0.06029,0.39084,0.0,0.53893,,0.0,0.0,0.0323,0.48756,0.0,0.0,0.0,0.0,0.20592,0.0,,0.0,0.05749,0.0,0.0,0.0,1.77333,7,27.22691,0.0821
e478c3f54479b262009dbee033f2ce66ac77119eabf659c80bd5924e71d39d83,CA,BelCosta Labs,"MISSION HEALTH ASSOCIATES, INC",TRIPLE CHOCOLATE CHIP,TRIPLE CHOCOLATE CHIP,Flower,2021-06-07T00:00:00,ca-results-latest.xlsx,1.52994,0.03782,0.20429,0.0,0.80914,,0.0,0.0,0.01977,0.1008,0.0,0.0,0.0,0.0,0.2209,0.0,,0.0,0.0892,0.0,0.04802,0.0,1.5299399999999999,8,20.5537,0.0613
fb488441d4569e1408a02dc7f08388f35e973ff6cca64cad8c15ae149fee5039,CA,BelCosta Labs,"MISSION HEALTH ASSOCIATES, INC",ORANGEADE,ORANGEADE,Flower,2021-06-12T00:00:00,ca-results-latest.xlsx,1.49611,0.09938,0.65476,0.0,0.21902,,0.0,0.0,0.07974,0.09614,0.07724,0.0,0.01816,0.0,0.06852,0.07696,,0.0,0.10619,0.0,0.0,0.0,1.49611,10,22.94412,0.04477
dd0f3254ba721217f4b18f76e45cc4855df65c777881ef52ae0b03d6019cd780,CA,BelCosta Labs,"MISSION HEALTH ASSOCIATES, INC",MAC 1,MAC 1,Flower,2021-06-12T00:00:00,ca-results-latest.xlsx,2.12505,0.13736,0.7615,0.0,0.429,,0.0,0.0,0.16059,0.13153,0.03585,0.0,0.02116,0.0,0.14654,0.0,,0.0,0.18731,0.0,0.11421,0.0,2.12505,10,32.83965,0.08868
f37933065bb93d804d950db59e31a9d90a3a298e60e5a87df1ebae40a09679c8,CA,BelCosta Labs,MISSION HEALTH ASSOCIATES,SUPER SILVER HAZE,SUPER SILVER HAZE,Flower,2021-06-12T00:00:00,ca-results-latest.xlsx,2.4277,0.06759,0.50499,0.0,0.92172,,0.0,0.0,0.04003,0.43951,0.0,0.0,0.01363,0.0,0.34595,0.0,,0.0,0.09428,0.0,0.0,0.0,2.4277,8,30.37307,0.09129
9e9f74a583d36b8b139e5f0945f07d79d7f286de213a827b16f8b7d05c916a4e,CA,BelCosta Labs,"MISSION HEALTH ASSOCIATES, INC",MAC 1,MAC 1,Flower,2021-06-12T00:00:00,ca-results-latest.xlsx,2.14369,0.13506,0.76281,0.0,0.4408,,0.0,0.0,0.15251,0.12998,0.03487,0.0,0.02094,0.0,0.15057,0.0,,0.0,0.19349,0.0,0.12266,0.0,2.1436900000000003,10,31.15355,0.06081
2b10fc52a7deb6941458d24ed5ff3b7791235b42850b9a9c6ed69b09a4829791,CA,BelCosta Labs,"Mission Health Associates, Inc.",SUGAR TARTS,SUGAR TARTS,Flower,2021-06-14T00:00:00,ca-results-latest.xlsx,1.0018,0.03981,0.20269,0.0,0.36043,,0.0,0.0,0.0216,0.10746,0.0,0.0,0.0,0.0,0.11693,0.0,,0.0,0.09049,0.0,0.06239,0.0,1.0018,8,19.47407,0.04943
