strain_name,n_samples,beta_caryophyllene,d_limonene,beta_myrcene,humulene,linalool,beta_pinene,alpha_pinene,alpha_bisabolol,terpinolene,ocimene,nerolidol,caryophyllene_oxide,camphene,geraniol,alpha_terpinene,guaiol,carene,gamma_terpinene,eucalyptol,isopulegol,p_cymene
GG4,49,0.762,0.3153,0.1847,0.2611,0.0579,0.0442,0.0246,0.0689,0.0059,0.0022,0.0088,0.0077,0.001,0.0005,0.0001,0.0,0.0002,0.0001,0.0009,0.0004,0.0
Hella Jelly,26,0.5944,0.0903,0.5146,0.1604,0.0703,0.0152,0.0024,0.1069,0.0019,0.0,0.0064,0.0237,0.0006,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
Wedding Cake,39,0.6638,0.3132,0.4562,0.2083,0.1621,0.0529,0.0383,0.0491,0.0007,0.0003,0.0018,0.0124,0.0035,0.0018,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0
Fatso,56,0.7734,0.5609,0.3698,0.2503,0.2416,0.0738,0.0425,0.0745,0.0022,0.0005,,,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Super Silver Haze,80,0.6309,0.4641,0.4245,0.2483,0.0772,0.067,0.0403,0.0022,0.0058,0.0014,,,0.006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mafia Funeral,26,0.6127,0.4928,0.1047,0.2347,0.1541,0.0787,0.0627,0.0328,0.0028,0.1207,0.0473,0.0093,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garlic Starship,85,0.5431,0.5046,0.379,0.2214,0.0551,0.0691,0.0409,0.0543,0.0002,0.0,,,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sour Diesel,39,0.4287,0.374,0.2969,0.1897,0.0877,0.0576,0.0331,0.0706,0.0024,0.0025,0.0333,0.0075,0.0057,0.0005,0.0,0.0057,0.0,0.0,0.0,0.0,0.0
Sugar Tarts,42,0.4948,0.434,0.4855,0.1556,0.1655,0.0739,0.0382,0.0415,0.0007,0.0,,,0.0072,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peanut Butter Breath,35,0.2826,0.7907,0.236,0.1343,0.0323,0.1113,0.0729,0.037,0.0046,0.0504,0.0118,0.0057,0.0188,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBX - Mount Zereal Kush - Manicured Flower,24,0.3545,0.9037,0.2571,0.1406,0.2898,0.1443,0.0929,0.0558,0.0092,0.0262,0.0162,0.0063,0.0234,0.0136,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
CBX - L'Orange - Manicured Flower,27,0.3119,0.6998,0.3207,0.0997,0.2381,0.1022,0.0533,0.026,0.0092,0.0025,0.0309,0.0005,0.0161,0.0003,0.0,0.0134,0.0,0.0017,0.0,0.0,0.0
Mac 1,42,0.3031,0.6087,0.1197,0.1023,0.1666,0.1168,0.1353,0.0895,0.0021,0.0197,0.066,0.019,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMO,37,0.5057,0.5381,0.3672,0.2138,0.0571,0.0784,0.0427,0.0676,0.0059,0.0009,0.0247,0.0147,0.011,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
CBX - Cereal Milk - Manicured Flower,42,0.4471,0.5152,0.0401,0.1884,0.2364,0.1239,0.1432,0.0541,0.0054,0.0713,0.0162,0.01,0.0164,0.0016,0.0,0.0,0.0,0.0,0.0025,0.0,0.0
Cultivation LCG,26,0.2838,0.5818,0.4716,0.082,0.4657,0.0999,0.0502,0.0024,0.0061,0.0019,0.0714,0.0041,0.0161,0.0075,0.0,0.0,0.0,0.0,0.0,0.0006,0.0
Lemon Cherry Gelato,24,0.4341,0.5481,0.3413,0.1358,0.3185,0.0926,0.0529,0.0159,0.0056,0.014,0.0543,0.0081,0.0139,0.004,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0
Blue Dream,40,0.2796,0.1125,0.7037,0.1062,0.0613,0.1594,0.3378,0.0522,0.0004,0.0023,0.014,0.0115,0.0054,0.0002,0.0,0.0018,0.0,0.0,0.0016,0.0,0.0
Fire OG,31,0.4235,0.4613,0.6261,0.14,0.1908,0.0725,0.0399,0.0371,0.0028,0.0,,,0.0061,0.0004,0.0,0.0021,0.0,0.0,0.0,0.0,0.0
Lilac Diesel,77,0.522,0.0987,0.1973,0.2088,0.0036,0.0617,0.0411,0.0286,0.7335,0.2773,,,0.0,0.0,0.024,0.0005,0.0204,0.0147,0.0,0.0,0.0
