strain_name,n_samples,pc1,pc2,dominant
Garlic Starship,85,-0.8697384272239421,-0.21226054949179024,beta_caryophyllene
Super Silver Haze,80,-0.2201679299850889,1.6805300169019608,beta_caryophyllene
Lilac Diesel,77,2.7545490439087734,-1.220733189936333,terpinolene
Fatso,56,-1.0205594456547327,-0.12782257056575214,beta_caryophyllene
GG4,49,-0.48249943172402415,-0.40526935518718965,beta_caryophyllene
Mac 1,42,-0.7700332169746205,-1.1647140883601952,d_limonene
Sugar Tarts,42,-0.9564839654368643,0.15078965004243391,beta_caryophyllene
CBX - Cereal Milk - Manicured Flower,42,-0.11220409983007278,-1.4280624377852105,d_limonene
Blue Dream,40,-0.7722219457494586,-0.17727260921290228,beta_myrcene
Wedding Cake,39,-0.9038696698565223,-0.13801665630075152,beta_caryophyllene
Sour Diesel,39,-0.9644604702882013,-0.30670545779225294,beta_caryophyllene
GMO,37,-0.7486802609711715,-0.04009453723487348,d_limonene
Peanut Butter Breath,35,0.03270641587845853,-1.0243879265818345,d_limonene
Fire OG,31,-0.8134844027546543,0.34379658361385396,beta_myrcene
CBX - L'Orange - Manicured Flower,27,-0.6292635769020933,0.8366483327059334,d_limonene
Hella Jelly,26,-0.8821410651966738,-0.6854029543650094,beta_caryophyllene
Mafia Funeral,26,-0.1729619824919436,-1.26413829627598,beta_caryophyllene
Cultivation LCG,26,-0.7043125321447388,2.4417092391024955,d_limonene
Lemon Cherry Gelato,24,-0.46099569111063615,0.5113883954843056,d_limonene
CBX - Mount Zereal Kush - Manicured Flower,24,-0.28570049343671505,-0.14293241532612447,d_limonene
Pineapple Fruz,24,-0.14086178506652253,-1.5753505066522104,d_limonene
Jelly Fish,23,-0.3314264405518444,1.692599144824364,beta_myrcene
Red Eye,22,-0.15782771514289162,-0.45306148656416523,d_limonene
Cherry AK,22,0.43385221096711385,-1.87136737376217,beta_myrcene
Crop Duster,22,-0.17163793092921556,-1.086966225348382,d_limonene
Lemon Cherry Gelato Bud,22,-0.9104321095388507,0.5734397221834725,d_limonene
Pineapple Shotz,21,0.1361155642390714,-1.4072283127408327,d_limonene
Red Velvet,20,-0.35278068466361073,-0.8916670863270187,d_limonene
Biscotti Sherbet,20,-0.4024948806113241,-0.8026884460384179,d_limonene
Gelonade,20,-0.12934639710630125,-0.9017428290419777,d_limonene
#007,19,-0.40066348467923746,-0.6801676053206066,beta_caryophyllene
Lemon Sponge Cake,19,-0.5270597252803274,-1.346989646386147,beta_caryophyllene
Cali Gold,19,-0.900277547756973,0.39544671257462943,beta_myrcene
White Truffle Bulk Flower,19,0.02567415929946569,-0.8597116497464558,d_limonene
Ice Cream Cake,18,-1.1222078707574938,-0.10178999321176142,beta_caryophyllene
HB - Master Kush - Manicured Flower,18,-0.7223279011322876,0.2861072485231821,d_limonene
Orange Tree,18,-0.776427262157673,0.03984646800360678,beta_caryophyllene
Laughing Gas,17,-0.14044588962800894,-0.747449541460216,d_limonene
Marathon OG Bud,17,-0.834793464494318,0.7600196086670781,beta_myrcene
Platinum OG,17,-0.578721501871663,0.41464844936512346,beta_myrcene
Yahemi,17,-0.3433582546565602,-1.0134673645423287,beta_caryophyllene
Zebra Ztripez,17,-0.2707018398806594,-1.5592704208210262,beta_caryophyllene
RS11,16,-0.43777610945924067,-0.22389428355274688,d_limonene
Gello Shotz,16,-1.0845344924314946,-0.43257783818572404,beta_caryophyllene
Papaya Cake,16,-0.6608258887281694,1.534675050901387,beta_myrcene
Carbon Fiber,16,-0.34099529288907005,-1.4108963088294202,beta_caryophyllene
