strain_name,n_samples,pc1,pc2,dominant
Garlic Starship,85,-0.05554822934056202,0.040143665510931736,beta_caryophyllene
Super Silver Haze,80,-0.041665825108699116,0.043997088372955795,beta_caryophyllene
Lilac Diesel,77,0.29564269606832616,-0.19571978831321085,terpinolene
Fatso,56,-0.07189034520602293,-0.0007299064631517152,beta_caryophyllene
GG4,49,-0.08140354329433086,-0.07787960913308735,beta_caryophyllene
Mac 1,42,-0.10746506621657403,-0.035841651460183976,d_limonene
Sugar Tarts,42,-0.015678786038363365,0.10043917505152322,beta_caryophyllene
CBX - Cereal Milk - Manicured Flower,42,-0.10748451792469858,-0.09166018878970039,d_limonene
Blue Dream,40,0.16066871899666602,0.2363751893036302,beta_myrcene
Wedding Cake,39,-0.009430516715564528,0.06144076648051784,beta_caryophyllene
Sour Diesel,39,-0.04014137077258267,0.0332693805064935,beta_caryophyllene
GMO,37,-0.05418007538436146,0.035618128719944804,d_limonene
Peanut Butter Breath,35,-0.12028467582087764,0.009991409828363024,d_limonene
Fire OG,31,0.015411491274057106,0.16104250286139318,beta_myrcene
CBX - L'Orange - Manicured Flower,27,-0.08706080444548703,0.04961565387691814,d_limonene
Hella Jelly,26,0.06861682614269353,0.12815362569663719,beta_caryophyllene
Mafia Funeral,26,-0.09875632609489336,-0.08776327653908084,beta_caryophyllene
Cultivation LCG,26,-0.029662705698737298,0.11292489692219353,d_limonene
Lemon Cherry Gelato,24,-0.05868935918244776,0.042458900084335366,d_limonene
CBX - Mount Zereal Kush - Manicured Flower,24,-0.1144600840524137,0.0036515059801546425,d_limonene
Pineapple Fruz,24,-0.12126149835858503,-0.085843001529374,d_limonene
Jelly Fish,23,0.21143605354668166,0.40800603900242877,beta_myrcene
Red Eye,22,-0.057464759422159936,0.06384035605686524,d_limonene
Cherry AK,22,0.18587673460459606,0.312950586765253,beta_myrcene
Crop Duster,22,-0.10682490128112986,-0.032448884991988364,d_limonene
Lemon Cherry Gelato Bud,22,-0.06535220895086334,0.02675204006278243,d_limonene
Pineapple Shotz,21,-0.14308992257009132,-0.06474839949559753,d_limonene
Red Velvet,20,-0.10916596829432079,-0.02330787723181425,d_limonene
