strain_name,n_samples,total_thc,total_cbd,dominant
Garlic Starship,85,31.36194,0.08473,beta_caryophyllene
Super Silver Haze,80,30.76324,0.08528,beta_caryophyllene
Lilac Diesel,77,27.53284,0.06189,terpinolene
Fatso,56,30.377445,0.081015,beta_caryophyllene
GG4,49,25.72665,0.0585,beta_caryophyllene
Sugar Tarts,42,27.60358,0.077325,beta_myrcene
Mac 1,42,26.938115,0.0566,d_limonene
CBX - Cereal Milk - Manicured Flower,42,30.31335,0.0971,d_limonene
Blue Dream,40,25.9076,0.0785,beta_myrcene
Wedding Cake,39,28.27649,0.06848,beta_caryophyllene
Sour Diesel,39,25.30158,0.083405,beta_caryophyllene
GMO,37,31.609625,0.0829,d_limonene
Peanut Butter Breath,35,27.5557,0.06156,d_limonene
Fire OG,31,27.63375,0.05643,beta_myrcene
CBX - L'Orange - Manicured Flower,27,33.0788,0.0802,d_limonene
Hella Jelly,26,25.701935,0.075305,beta_caryophyllene
Mafia Funeral,26,25.62841,0.06293499999999999,beta_caryophyllene
Cultivation LCG,26,28.397,0.07445,d_limonene
CBX - Mount Zereal Kush - Manicured Flower,24,31.08905,0.0877,d_limonene
Lemon Cherry Gelato,24,27.4782,0.068,d_limonene
Pineapple Fruz,24,28.863149999999997,0.0802,d_limonene
Jelly Fish,23,0.69536,17.17478,beta_myrcene
Crop Duster,22,26.402695,0.055475,d_limonene
Cherry AK,22,25.501565,0.060905,beta_myrcene
Lemon Cherry Gelato Bud,22,24.6064,0.1224,d_limonene
Red Eye,22,28.5704,0.0756,d_limonene
Pineapple Shotz,21,30.5318,0.0845,d_limonene
Biscotti Sherbet,20,24.4445,0.1129,d_limonene
Gelonade,20,27.769,0.0862,d_limonene
Red Velvet,20,32.2945,0.0849,d_limonene
Lemon Sponge Cake,19,28.2633,0.0915,beta_caryophyllene
White Truffle Bulk Flower,19,26.0983,0.1039,d_limonene
Cali Gold,19,28.08092,0.05318,beta_myrcene
#007,19,30.2854,0.0894,beta_caryophyllene
HB - Master Kush - Manicured Flower,18,30.4584,0.0875,d_limonene
Ice Cream Cake,18,24.111745,0.0752,beta_caryophyllene
Orange Tree,18,30.558100000000003,0.08224999999999999,beta_caryophyllene
Marathon OG Bud,17,27.2823,0.063,beta_myrcene
Platinum OG,17,24.23859,0.05121,beta_myrcene
Yahemi,17,29.4538,0.2292,beta_caryophyllene
Laughing Gas,17,28.7802,0.0846,d_limonene
Zebra Ztripez,17,26.5448,0.0581,beta_caryophyllene
Papaya Cake,16,28.58917,0.06112,beta_myrcene
Carbon Fiber,16,31.6476,0.0957,beta_caryophyllene
Gello Shotz,16,28.9601,0.0654,beta_caryophyllene
RS11,16,25.5157,0.066,d_limonene
Pave,15,29.3893,0.0974,d_limonene
Papaya Punch,15,27.05,0.074,beta_caryophyllene
CBX - GM-uhoh - Manicured Flower,15,35.3532,0.0875,beta_myrcene
Lemon Cherry Gelato x Zkittlez x Animal Cookies Bud,15,25.3643,0.1153,d_limonene
Permanent Marker,15,26.7163,0.065,d_limonene
Gastro Pop,15,20.42,0.053,beta_caryophyllene
Magic Shotz,14,27.2604,0.0554,d_limonene
SUPER SILVER HAZE,14,28.508049999999997,0.08630499999999999,beta_caryophyllene
Garlic Juice,14,26.43974,0.07899,d_limonene
Magic Marker,14,26.369300000000003,0.0635,d_limonene
GELATO 41,13,25.1262,0.0746,beta_caryophyllene
CBX - French Alps - Manicured Flower,13,30.4147,0.08,d_limonene
Blue Gusher,13,32.715,0.1039,beta_caryophyllene
Dark Nebula,13,28.64834,0.11892,beta_caryophyllene
Cultivation Bolo,13,28.1826,0.0851,d_limonene
Pink Boost Goddess 1/4oz.,13,8.514,0.029,beta_myrcene
The Sauce,13,29.5478,0.4215,beta_caryophyllene
Modified Grapes,12,24.34555,0.0551,beta_caryophyllene
Orange Creamsicle,12,25.508195,0.060335,terpinolene
MAC 1,12,27.769645,0.05953,d_limonene
LA Kush Cake,12,35.726,0.139,beta_caryophyllene
Jealousy Mints,12,26.732525000000003,0.05018,beta_caryophyllene
Jealousy Julep,12,30.33783,0.06333,d_limonene
Grapes & Cream,12,27.365,0.0885,beta_caryophyllene
Glitter Bomb,12,30.67905,0.0809,beta_myrcene
White Truffle,12,29.38,0.07085,d_limonene
Nimbus Snacks,12,25.2532,0.0759,beta_caryophyllene
CBX - Sublime Lime - Manicured Flower,12,25.321350000000002,0.0664,d_limonene
